,Округ,Район,Площадь,Площадь лог,Кол-во комнат,Этаж,Этажей в доме,Первый этаж,Последний этаж,Метро,Расстояние до метро (ед),Расстояние указано пешком,Расстояние указано на транспорте,Тип дома,Указан раздельный санузел,Несколько санузлов,Балкон указан,Окна,Окна во двор,Ремонт,Наличие ремонта,Возраст дома,Доля жилой площади,Доля куханной площади,Площадь кухни
99,ВАО,р-н Измайлово,30.0,3.4011973816621555,СиА,1.0,8.0,True,False,Первомайская,8,True,False,Блочный,False,False,False,Во двор,True,Косметический,True,61.0,0.7,0.2,6.0
100,ЮАО,р-н Чертаново Южное,31.0,3.4339872044851463,СиА,9.0,12.0,False,False,Улица Академика Янгеля,5,True,False,Панельный,False,False,True,На улицу,False,Евроремонт,True,49.0,0.5161290322580645,0.2032258064516129,6.3
101,ЮВАО,р-н Рязанский,28.82,3.361069590571376,СиА,10.0,20.0,False,False,Рязанский проспект,18,True,False,,False,False,True,Во двор,True,Без ремонта,False,,0.4337265787647467,0.2081887578070784,6.0
102,НАО (Новомосковский),Внуковское поселение,33.0,3.4965075614664802,1,5.0,24.0,False,False,Рассказовка,6,False,True,Панельный,False,False,True,Во двор,True,Евроремонт,True,5.0,0.48484848484848486,0.24242424242424243,8.0
103,ЮАО,р-н Царицыно,30.0,3.4011973816621555,СиА,1.0,5.0,True,False,Кантемировская,1,False,True,Панельный,False,False,False,,False,Косметический,True,54.0,0.6,0.18333333333333332,5.5
104,ЮВАО,р-н Люблино,32.0,3.4657359027997265,1,8.0,17.0,False,False,Люблино,10,True,False,,False,False,True,Во двор,True,Евроремонт,True,1.0,0.4375,0.3125,10.0
105,ЮАО,р-н Чертаново Южное,33.0,3.4965075614664802,1,2.0,12.0,False,False,Улица Академика Янгеля,10,True,False,Панельный,False,False,True,,False,,True,48.0,0.5454545454545454,0.21212121212121213,7.0
106,НАО (Новомосковский),Сосенское поселение,33.0,3.4965075614664802,1,13.0,15.0,False,False,Коммунарка,6,True,False,,False,False,True,,False,Евроремонт,True,,0.4303030303030303,0.30303030303030304,10.0
107,ЦАО,р-н Тверской,24.7,3.2068032436339315,СиА,2.0,8.0,False,False,Цветной бульвар,1,False,True,,True,False,True,,False,Без ремонта,False,,,,
108,НАО (Новомосковский),Щербинка,33.8,3.520460802488973,1,4.0,5.0,False,False,Щербинка,1,False,True,,True,False,True,,False,Косметический,True,,0.42603550295857995,0.2869822485207101,9.7
109,ЮАО,р-н Орехово-Борисово Южное,35.0,3.5553480614894135,1,7.0,16.0,False,False,Зябликово,3,True,False,Блочный,False,False,True,,False,,True,36.0,0.5428571428571428,0.2857142857142857,10.0
110,ВАО,р-н Восточное Измайлово,31.0,3.4339872044851463,СиА,4.0,9.0,False,False,Измайловская,5,False,True,Кирпичный,False,False,False,,False,Косметический,True,84.0,0.6451612903225806,0.1935483870967742,6.0
111,САО,р-н Коптево,35.0,3.5553480614894135,1,11.0,12.0,False,False,Войковская,4,False,True,Блочный,False,False,True,Во двор,True,Косметический,True,52.0,0.5428571428571428,0.2857142857142857,10.0
112,ЗАО,р-н Фили-Давыдково,27.0,3.295836866004329,СиА,4.0,5.0,False,False,Славянский бульвар,21,True,False,,True,False,True,,False,,True,60.0,0.6666666666666666,0.2222222222222222,6.0
113,ВАО,р-н Гольяново,34.6,3.543853682063679,1,8.0,16.0,False,False,Щелковская,1,False,True,Блочный,False,False,True,,False,Косметический,True,47.0,,,
114,СЗАО,р-н Хорошево-Мневники,24.0,3.1780538303479458,СиА,7.0,9.0,False,False,Шелепиха,7,True,False,Монолитный,False,False,False,,False,Евроремонт,True,5.0,0.625,0.125,3.0
115,ВАО,р-н Преображенское,35.0,3.5553480614894135,1,1.0,12.0,True,False,Преображенская площадь,3,True,False,Блочный,False,False,False,Во двор,True,Косметический,True,53.0,0.5714285714285714,0.2857142857142857,10.0
116,ЮАО,р-н Чертаново Южное,35.0,3.5553480614894135,1,7.0,9.0,False,False,Улица Академика Янгеля,14,True,False,Блочный,True,False,True,,False,Евроремонт,True,48.0,0.6,0.21428571428571427,7.5
117,СВАО,р-н Северный,29.2,3.374168709274236,СиА,9.0,14.0,False,False,Алтуфьево,4,False,True,Кирпичный,False,False,True,,False,,True,,0.684931506849315,0.2397260273972603,7.0
118,СВАО,р-н Отрадное,32.6,3.484312288372662,1,5.0,9.0,False,False,Отрадное,2,False,True,Панельный,True,False,False,,False,Косметический,True,45.0,0.5122699386503067,0.20552147239263804,6.7
119,ЮЗАО,р-н Коньково,33.4,3.5085558999826545,1,15.0,21.0,False,False,Новые Черемушки,6,False,True,Монолитный,False,False,False,Во двор,True,Без ремонта,False,,,,
120,ЮВАО,р-н Текстильщики,35.0,3.5553480614894135,1,5.0,16.0,False,False,Текстильщики,14,True,False,Блочный,False,False,True,,False,,True,33.0,0.5571428571428572,0.2742857142857143,9.6
